Instructor,Course,Term,Enrolled/Response Rate,Avg Grade Recieved,Avg Hours Worked,Student Learning,Course Structure,Class Environment
"Vangelisti, Nicoletta",COMM 101 - Intro Audio-Vis Media Practice (A00),WI24,52 (21.15%),3.66 (B+),6.45,4.86,4.66,4.89
"Davis, Zeinabu I.",COMM 101 - Intro Audio-Vis Media Practice (A00),FA23,57 (71.93%),3.72 (A-),7.2,4.53,4.25,4.55
"Pavon Aramburu, Maria Laur",COMM 101A - Media Activism (A00),WI24,17 (41.18%),3.55 (B+),3.57,4.89,4.75,4.89
"Halm, Gavin Patrick",COMM 101D - MPL:Non-Linear Digital Editing (A00),WI24,27 (29.63%),3.80 (A-),5.75,4.88,4.84,4.87
"Martinico, Daniel J",COMM 101D - MPL:Non-Linear Digital Editing (A00),FA23,15 (33.33%),3.72 (A-),7.0,4.85,4.9,4.75
"Ahn, Patricia Jeehyun",COMM 101K - MPL: Documentary Sketchbook (A00),SP24,19 (26.32%),3.89 (A-),7.8,5.0,5.0,5.0
"Davis, Zeinabu I.",COMM 101K - MPL: Documentary Sketchbook (A00),WI24,15 (66.67%),3.76 (A-),6.6,4.55,4.4,4.35
"Martinico, Daniel J",COMM 101N - MPL:Sound Prductn & Manipulatn (A00),SP24,16 (43.75%),3.55 (B+),6.14,4.75,4.75,4.75
"Martinico, Daniel J",COMM 101N - MPL:Sound Prductn & Manipulatn (A00),WI24,15 (60.00%),3.46 (B+),4.78,4.72,4.8,4.83
"Halm, Gavin Patrick",COMM 101T - Media Prod Lab: Topics in Prod (A00),FA23,24 (16.67%),3.68 (B+),3.75,4.75,4.88,5.0
"Peacher, Amanda M",COMM 102B - MMPP: AudioStory&PodcastPract (A00),WI24,18 (27.78%),3.60 (B+),5.4,4.9,4.75,4.85
"Campion, Camille E",COMM 102C - MMPP: Media & Design Practicum (A00),SP24,18 (16.67%),3.35 (B+),4.33,4.92,5.0,4.92
"Campion, Camille E",COMM 102C - MMPP: Media & Design Practicum (A00),WI24,17 (52.94%),3.39 (B+),7.0,4.56,4.51,4.67
"Campion, Camille E",COMM 102C - MMPP: Media & Design Practicum (A00),FA23,16 (62.50%),3.39 (B+),6.0,4.58,4.53,4.68
"Davis, Zeinabu I.",COMM 102M - MMPP: Studio/TV (A00),SP24,21 (76.19%),3.83 (A-),3.8,4.7,4.27,4.31
"Gates, Kelly",COMM 103D - Documentary History & Theory (A00),SP24,38 (23.68%),3.60 (B+),5.89,4.64,4.64,4.69
"Rojo Solis, Juan Jose",COMM 103F - How to Read a Film (A00),FA23,32 (31.25%),3.42 (B+),6.0,4.35,4.35,4.58
"Hill, Erin Truesdell",COMM 103F - How to Read a Film (A00),SP23,45 (20.00%),3.35 (B+),6.88,4.29,3.86,4.31
"Hallin, Daniel C",COMM 104G - CMS: Latin America & Caribbean (A00),FA23,15 (66.67%),3.24 (B),6.0,4.33,4.38,4.77
"Gates, Kelly",COMM 105P - Comm Tech: Photographic Techno (A00),FA23,33 (30.30%),3.35 (B+),5.0,4.15,4.28,4.47
"Geiger, Richard Stuart","COMM 106E - CI: Data, Science, and Society (A00)",FA23,39 (38.46%),3.86 (A-),4.67,4.52,4.52,4.76
"Whitworth-Smith, Andrew C",COMM 106F - CI: The Film Industry (A00),WI24,74 (82.43%),3.80 (A-),4.03,4.43,4.39,4.58
"Whitworth-Smith, Andrew C",COMM 106I - CI: Internet Industry (A00),FA23,73 (83.56%),3.81 (A-),5.33,4.54,4.49,4.56
"Serlin, David",COMM 107 - Visual Culture (A00),SP24,30 (36.67%),3.19 (B),5.0,4.48,4.43,4.27
"Goldfarb, Brian",COMM 108D - POB: Disability (A00),WI24,35 (31.43%),3.90 (A-),3.55,4.77,4.73,4.75
"Halm, Gavin Patrick",COMM 109D - MC: Advertising & Society (A00),SP24,105 (42.86%),3.81 (A-),3.84,4.64,4.53,4.79
"Jack, Caroline Sarah",COMM 109D - MC: Advertising & Society (A00),WI24,75 (61.33%),3.31 (B+),4.2,4.53,4.5,4.68
"Hallin, Daniel C",COMM 109N - MC: American News Media (A00),WI24,35 (48.57%),3.18 (B),3.63,4.29,4.12,4.31
"Whitworth-Smith, Andrew C",COMM 110G - LLC:Communication in Orgs (A00),SP24,45 (60.00%),3.88 (A-),4.56,4.5,4.55,4.64
"Harb, Anthony Joseph",COMM 110M - LLC: Comm & Community (A00),SP24,40 (30.00%),3.66 (B+),4.17,4.94,4.98,4.94
"Abuelhiga, Soraya Jill",COMM 110M - LLC: Comm & Community (A00),FA23,35 (68.57%),3.89 (A-),5.21,4.58,4.67,4.59
"Santa Rosa Siqueira Mendes, Paula",COMM 110M - LLC: Comm & Community (A00),S223,34 (50.00%),3.07 (B),6.47,4.22,4.4,4.51
"Pavon Aramburu, Maria Laur",COMM 111A - Comm & Cul Production: Intro (A00),SP24,37 (8.11%),3.41 (B+),6.33,4.67,4.67,4.67
"Zilberg, Elana",COMM 111B - Global Borders: Communication (A00),WI24,28 (28.57%),3.29 (B),4.0,4.19,3.78,4.29
"Moreno, Joseph",COMM 111C - CCP:Cities & Politics of Space (A00),FA23,33 (90.91%),3.73 (A-),5.33,4.49,4.47,4.72
"Campion, Camille E",COMM 111F - CCP:Folklore and Communication (A00),SP24,34 (47.06%),3.85 (A-),3.8,4.61,4.56,4.76
"Rojo Solis, Juan Jose",COMM 111G - CCP: Popular Culture (A00),WI24,34 (58.82%),3.24 (B),4.6,4.35,4.39,4.45
"Rojo Solis, Juan Jose",COMM 111P - CCP:Perform & Cultural Studies (A00),FA23,32 (25.00%),3.30 (B),6.25,4.38,4.13,4.23
"Fields, Gary",COMM 113T - Intm Topics in Communication (A00),SP24,32 (21.88%),3.61 (B+),4.71,4.78,4.71,4.68
"Rojo Solis, Juan Jose",COMM 113T - Intm Topics in Communication (B00),WI24,29 (79.31%),3.40 (B+),4.57,4.21,4.16,4.59
"Abuelhiga, Soraya Jill",COMM 113T - Intm Topics in Communication (D00),WI24,26 (50.00%),3.85 (A-),3.92,4.4,4.33,4.24
"McKenna, Denise",COMM 113T - Intm Topics in Communication (A00),FA23,33 (33.33%),3.85 (A-),5.45,4.3,4.14,4.51
"Staschus, Sophie",COMM 113T - Intm Topics in Communication (A00),S223,21 (14.29%),3.54 (B+),8.33,4.0,4.0,4.67
"Havis, Allan",COMM 113T - Intm Topics in Communication (A00),S123,41 (19.51%),3.45 (B+),5.63,4.31,4.31,4.59
"Zilberg, Elana",COMM 114A - CSI:Communication&Human Rights (A00),SP24,39 (20.51%),3.40 (B+),5.5,4.47,4.38,4.59
"Zilberg, Elana",COMM 114A - CSI:Communication&Human Rights (A00),SP23,21 (28.57%),3.54 (B+),5.83,4.5,4.08,4.42
"Pavon Aramburu, Maria Laur","COMM 114E - CSI:Gender,Labor-Global Econmy (A00)",SP24,32 (21.88%),3.54 (B+),4.43,4.68,4.43,4.61
"Gaffney, Samuel Jude",COMM 114I - CSI: Media Tech&Social Mvments (A00),S223,36 (16.67%),3.38 (B+),5.0,4.71,4.58,4.67
"Staschus, Sophie",COMM 114N - CSI:Com&the Law:The Body inLaw (A00),FA23,36 (33.33%),3.33 (B+),7.5,4.56,4.5,4.67
"Walkover, Lillian B",COMM 114T - CSI: Science Communication (A00),WI24,25 (88.00%),3.46 (B+),4.45,4.4,4.55,4.73
"Walkover, Lillian B",COMM 114W - CSI: GlobalHealthCommunication (A00),SP24,17 (88.24%),3.81 (A-),4.6,4.67,4.68,4.83
"Alac, Morana",COMM 115 - Communication and the Senses (A00),WI24,33 (39.39%),3.50 (B+),3.46,4.25,4.45,4.44
"Naval, Teresa Isabel Hernandez",COMM 120I - AMP: Social Issues-Media Prod (A00),FA23,37 (32.43%),3.88 (A-),5.83,4.69,4.79,4.79
"Sims, Christopher O",COMM 124A - Critical Design/Adv Studio (A00),WI24,59 (62.71%),3.39 (B+),5.22,4.54,4.5,4.68
"Wiering, Liesbeth",COMM 126 - Children and Media (A00),SP24,35 (31.43%),3.59 (B+),3.18,4.05,4.07,4.43
"Wiering, Elisabeth",COMM 126 - Children and Media (A00),FA23,29 (41.38%),3.41 (B+),4.58,3.7,3.65,4.35
"Abuelhiga, Soraya Jill",COMM 127 - The Problem of Voice (A00),WI24,30 (66.67%),3.79 (A-),4.0,4.54,4.51,4.53
"Fields, Gary","COMM 131 - Comm, Dissent, Social Mvments (A00)",WI24,27 (11.11%),3.57 (B+),3.67,4.92,4.92,5.0
"Leuning, Grant Maurstad","COMM 131 - Comm, Dissent, Social Mvments (A00)",S223,30 (33.33%),3.16 (B),6.0,4.53,4.5,4.8
"Rojo Solis, Juan Jose","COMM 132 - Adv Studies-Comm, Poli & Socty (A00)",SP24,30 (30.00%),3.27 (B),4.78,4.53,4.37,4.49
"Abuelhiga, Soraya Jill",COMM 134 - Media Audiences (A00),SP24,34 (64.71%),3.71 (A-),3.18,4.13,3.93,4.07
"Abuelhiga, Soraya Jill",COMM 134 - Media Audiences (A00),FA23,30 (56.67%),4.00 (A),5.0,4.49,4.4,4.64
"Davis, Zeinabu I.",COMM 139 - Examining Marvel's Black Panth (A00),WI24,38 (73.68%),3.76 (A-),3.0,4.81,4.64,4.61
"Fattal, Alexander Leor",COMM 140 - Cinema in Latin America (A00),WI24,31 (64.52%),3.15 (B),5.3,4.06,3.69,4.44
"Rojo Solis, Juan Jose",COMM 143 - Science Fiction (A00),SP24,31 (48.39%),3.24 (B),4.73,4.98,4.87,4.86
"Halm, Gavin Patrick",COMM 146 - Adv Studies-Cultural Prductn (A00),FA23,38 (23.68%),3.81 (A-),5.0,4.94,4.94,5.0
"Fields, Gary",COMM 158 - Rep/Israeli/Pal Conflict (A00),WI24,32 (21.88%),3.41 (B+),4.14,4.57,4.18,4.3
"Whitworth-Smith, Andrew C",COMM 160 - Poli Economy-Internatl Comm (A00),WI24,28 (71.43%),3.76 (A-),5.5,4.54,4.55,4.63
"Boateng, Boatema",COMM 162 - Adv Studies in Cul Industries (A00),FA23,27 (74.07%),2.58 (C+),6.5,4.54,4.35,4.7
"Metcalf, Kathryne Young","COMM 166 - Surveillance, Media & Risk Soc (A00)",FA23,29 (79.31%),3.53 (B+),6.09,4.95,4.9,4.9
"Harb, Anthony Joseph",COMM 168 - Bilingual Communication (A00),SP24,31 (29.03%),3.81 (A-),4.33,4.92,4.86,4.86
"Sims, Christopher O",COMM 171 - Environmental Communication (A00),WI24,33 (63.64%),3.42 (B+),3.9,4.76,4.57,4.81
"Alac, Morana",COMM 173 - Interaction with Technology (A00),SP24,35 (28.57%),3.63 (B+),4.2,4.53,4.7,4.8
"Alac, Morana",COMM 174 - Comm & Social Machines (A00),SP24,32 (28.13%),3.60 (B+),4.78,4.47,4.56,4.47
"Rojo Solis, Juan Jose",COMM 180 - Adv Studies/Comm Theory (A00),WI24,25 (60.00%),3.68 (B+),4.07,4.3,4.1,4.27
"Abuelhiga, Soraya Jill",COMM 190 - Junior Seminar in Comm (A00),SP24,21 (23.81%),3.70 (B+),5.8,4.5,4.55,4.68
"Keith, Kerry",COMM 190 - Junior Seminar in Comm (B00),SP24,25 (36.00%),3.59 (B+),4.11,4.81,4.75,4.75
"Fattal, Alexander Leor",COMM 190 - Junior Seminar in Comm (C00),SP24,25 (92.00%),3.27 (B),5.43,3.86,3.54,4.3
"Boateng, Boatema",COMM 190 - Junior Seminar in Comm (A00),WI24,25 (28.00%),3.13 (B),4.71,3.64,3.14,4.04
"Hill, Erin Truesdell",COMM 190 - Junior Seminar in Comm (B00),WI24,25 (24.00%),3.82 (A-),5.33,4.46,4.25,4.58
"Pavon Aramburu, Maria Laur",COMM 190 - Junior Seminar in Comm (C00),WI24,25 (28.00%),3.73 (A-),4.43,4.39,4.54,4.64
"Leuning, Grant Maurstad",COMM 190 - Junior Seminar in Comm (B00),FA23,24 (70.83%),3.33 (B+),5.59,4.38,4.34,4.62
"Staschus, Sophie",COMM 190 - Junior Seminar in Comm (C00),FA23,24 (25.00%),3.32 (B+),6.67,5.0,5.0,5.0
"Schmidt, Thomas Rainer",COMM 190 - Junior Seminar in Comm (D00),FA23,26 (80.77%),3.66 (B+),5.95,4.77,4.68,4.69
"Abuelhiga, Soraya Jill",COMM 190 - Junior Seminar in Comm (E00),FA23,24 (91.67%),4.00 (A),5.45,4.65,4.51,4.55
"Conner, Thomas Hartnell",COMM 190 - Junior Seminar in Comm (A00),S123,23 (17.39%),3.81 (A-),7.5,4.63,4.69,4.79
"Dewaard, Andrew Michael",COMM 196A - Honors Seminar I: Methods (A00),FA23,9 (33.33%),3.79 (A-),6.67,4.67,5.0,5.0
"Dewaard, Andrew Michael",COMM 196B - Honors Seminar II: Research (A00),WI24,8 (62.50%),4.00 (A),9.0,5.0,4.94,4.95
"Mignozzetti, Umberto",CSS 1 - Prog Computational Social Sci (A00),WI24,109 (77.98%),3.68 (B+),4.43,4.43,4.44,4.47
"Trott, Sean Thomas",CSS 1 - Prog Computational Social Sci (A00),FA23,118 (38.14%),3.72 (A-),6.22,4.41,4.31,4.55
"Mignozzetti, Umberto",CSS 1 - Prog Computational Social Sci (B00),FA23,66 (75.76%),3.64 (B+),5.5,4.4,4.38,4.5
"Trott, Sean Thomas",CSS 2 - Data/Model Programming: CSS (A00),WI24,77 (33.77%),3.82 (A-),4.12,4.67,4.67,4.75
"Trott, Sean Thomas",CSS 100 - Advanced Programming: CSS (A00),SP24,48 (33.33%),3.93 (A-),5.0,4.51,4.53,4.59
"Mignozzetti, Umberto",CSS 120 - Environmental Data Science (A00),SP24,27 (37.04%),4.00 (A),3.8,4.5,4.63,4.87
"Moshiri, Niema",CSE 6R - Intr/CompSci&Obj-Ori:Python (A00),WI24,98 (32.65%),2.66 (C+),6.16,3.97,3.91,4.33
"Miranda, Gregory Joseph",CSE 8A - Intro to Programming 1 (A00),SP24,241 (14.11%),3.08 (B),6.24,4.16,4.23,4.48
"Alvarado, Christine J.",CSE 8A - Intro to Programming 1 (A00),WI24,144 (84.72%),2.93 (B-),7.26,4.3,4.23,4.62
"Alvarado, Christine J.",CSE 8A - Intro to Programming 1 (B00),WI24,149 (75.17%),2.98 (B-),6.75,4.34,4.27,4.59
"Porter, Leonard Emerson",CSE 8A - Intro to Programming 1 (A00),FA23,287 (61.67%),3.37 (B+),7.07,4.14,4.04,4.52
"Porter, Leonard Emerson",CSE 8A - Intro to Programming 1 (B00),FA23,266 (68.80%),3.43 (B+),7.13,4.1,3.96,4.47
"Cao, Yingjun",CSE 8A - Intro to Programming 1 (A00),S223,33 (33.33%),2.67 (C+),9.09,3.98,3.47,4.33
"Cao, Yingjun",CSE 8A - Intro to Programming 1 (A00),S123,49 (12.24%),2.67 (C+),8.33,3.54,3.63,4.46
"Salguero, Adrian",CSE 8A - Intro to Programming 1 (B00),S123,40 (60.00%),2.70 (B-),7.92,4.67,4.76,4.8
"Miranda, Gregory Joseph",CSE 8B - Intro to Programming 2 (A00),WI24,205 (35.61%),3.40 (B+),6.26,4.16,4.16,4.47
"Ochoa, Benjamin Lawrence",CSE 8B - Intro to Programming 2 (A00),SP23,134 (24.63%),2.47 (C+),8.79,3.98,3.62,4.39
"Ochoa, Benjamin Lawrence",CSE 11 - Accel. Intro to Programming (A00),SP24,322 (22.36%),2.92 (B-),9.48,3.72,3.45,4.08
"Miranda, Gregory Joseph",CSE 11 - Accel. Intro to Programming (A00),WI24,296 (29.39%),3.44 (B+),7.15,4.18,4.08,4.41
"Soosai Raj, Adalbert Geral",CSE 11 - Accel. Intro to Programming (A00),FA23,387 (77.78%),3.44 (B+),7.64,4.42,4.38,4.7
"Soosai Raj, Adalbert Geral",CSE 11 - Accel. Intro to Programming (B00),FA23,196 (83.16%),3.65 (B+),7.16,4.46,4.47,4.73
"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A00),S223,23 (65.22%),3.11 (B),8.33,4.12,4.08,4.45
"Cao, Yingjun",CSE 11 - Accel. Intro to Programming (A00),S123,41 (21.95%),3.11 (B),8.89,4.44,4.24,4.56
"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A00),SP24,126 (57.14%),3.21 (B),8.71,4.41,4.33,4.49
"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (B00),SP24,277 (24.55%),3.16 (B),7.46,4.28,4.3,4.59
"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A00),WI24,187 (51.87%),3.33 (B+),8.52,4.45,4.26,4.55
"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (B00),WI24,289 (59.86%),3.43 (B+),8.25,4.39,4.26,4.51
"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (A00),FA23,231 (27.27%),3.08 (B),8.95,3.99,3.88,4.29
"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (B00),SP23,207 (26.57%),3.17 (B),9.45,3.5,3.09,4.03
"Solares, Edwin A",CSE 15L - Software Tools&Techniques Lab (A00),SP24,37 (24.32%),3.00 (B),5.25,4.56,4.33,4.44
"Solares, Edwin A",CSE 15L - Software Tools&Techniques Lab (B00),SP24,36 (38.89%),3.08 (B),4.43,4.55,4.52,4.57
"Solares, Edwin A",CSE 15L - Software Tools&Techniques Lab (C00),SP24,47 (46.81%),3.24 (B),5.18,4.51,4.42,4.7
"Solares, Edwin A",CSE 15L - Software Tools&Techniques Lab (D00),SP24,44 (45.45%),3.00 (B),6.1,4.35,4.39,4.51
"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (A00),WI24,403 (61.04%),3.39 (B+),4.25,4.41,4.41,4.57
"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (A00),FA23,350 (59.14%),3.39 (B+),6.05,4.45,4.36,4.6
"Gungor, Onat",CSE 15L - Software Tools&Techniques Lab (B00),FA23,49 (77.55%),3.13 (B),5.66,4.01,3.99,4.34
"Gungor, Onat",CSE 15L - Software Tools&Techniques Lab (C00),FA23,43 (55.81%),2.77 (B-),6.04,4.28,4.34,4.52
"Solares, Edwin A",CSE 15L - Software Tools&Techniques Lab (E00),FA23,12 (66.67%),2.70 (B-),5.63,4.38,4.13,4.63
"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (A00),SP23,217 (35.48%),3.39 (B+),5.71,4.44,4.5,4.58
"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (B00),SP23,209 (31.58%),3.66 (B+),5.62,4.52,4.56,4.64
"Minnes Kemp, Mor Mia",CSE 20 - Discrete Mathematics (A00),SP24,198 (23.23%),2.89 (B-),6.43,4.41,4.38,4.53
"Borkowski, Michael Humes",CSE 20 - Discrete Mathematics (A00),WI24,181 (34.25%),3.48 (B+),5.69,3.77,3.63,4.03
"Jones, Miles E",CSE 20 - Discrete Mathematics (A00),FA23,194 (34.02%),3.05 (B),7.65,4.31,4.24,4.43
"Briones, Jor-el Thomas Caparas",CSE 20 - Discrete Mathematics (A00),S223,25 (60.00%),3.47 (B+),8.67,4.12,4.05,4.22
"Borkowski, Michael Humes",CSE 20 - Discrete Mathematics (A00),S123,24 (16.67%),3.46 (B+),7.5,4.21,4.13,4.75
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A00),SP24,193 (24.35%),3.09 (B),7.29,4.21,4.16,4.39
"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A00),WI24,246 (29.27%),3.11 (B),7.83,4.28,4.15,4.45
"Impagliazzo, Russell",CSE 21 - Math/Algorithm&Systems Analys (A00),FA23,356 (46.63%),3.14 (B),8.57,3.18,3.03,4.0
"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A00),S223,nan,2.44 (C+),7.0,4.54,4.52,4.6
"Briones, Jor-el Thomas Caparas",CSE 21 - Math/Algorithm&Systems Analys (A00),S123,60 (56.67%),3.59 (B+),8.24,4.03,3.91,4.22
"Soosai Raj, Adalbert Geral",CSE 29 - Sys Prog and Software Tools (C00),SP24,175 (82.86%),2.86 (B-),8.05,4.45,4.36,4.66
"Shalev, Aaron D",CSE 29 - Sys Prog and Software Tools (D00),SP24,37 (64.86%),2.68 (C+),7.83,4.63,4.39,4.7
"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (A00),SP24,211 (25.12%),2.22 (C),8.98,4.15,4.0,4.43
"Muller, P Keith",CSE 30 - Computer Organiz&Systms Progrm (B00),SP24,201 (25.87%),3.14 (B),9.1,4.32,4.29,4.54
"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (A00),WI24,201 (75.62%),2.76 (B-),12.3,4.26,4.19,4.5
"Chin, Bryan W.",CSE 30 - Computer Organiz&Systms Progrm (A00),FA23,211 (80.57%),2.76 (B-),9.71,4.23,3.98,4.31
"Cao, Yingjun",CSE 30 - Computer Organiz&Systms Progrm (B00),FA23,201 (71.64%),2.57 (C+),9.65,4.17,3.92,4.41
"Moshiri, Niema",CSE 87 - First-year Seminar (A00),SP24,14 (50.00%),(N/A),1.86,4.72,4.79,4.83
"Cottrell, Garrison W",CSE 87 - First-year Seminar (A00),WI24,8 (37.50%),(N/A),2.33,4.08,4.64,4.73
"Moshiri, Niema",CSE 87 - First-year Seminar (B00),WI24,19 (57.89%),(N/A),1.18,4.74,4.77,4.67
"Cottrell, Garrison W",CSE 87 - First-year Seminar (A00),FA23,14 (64.29%),(N/A),1.11,4.0,3.92,4.19
"Moshiri, Alexander Niema",CSE 87 - First-year Seminar (B00),FA23,19 (47.37%),(N/A),2.78,4.03,3.83,4.0
"Minnes Kemp, Mor Mia",CSE 90 - Undergraduate Seminar (A00),SP24,43 (25.58%),(N/A),1.22,4.64,4.56,4.64
"Minnes Kemp, Mor Mia",CSE 90 - Undergraduate Seminar (A00),WI24,37 (27.03%),(N/A),2.0,4.68,4.68,4.77
"Minnes Kemp, Mor Mia",CSE 90 - Undergraduate Seminar (A00),SP23,55 (30.91%),(N/A),1.18,4.45,4.68,4.78
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (B00),SP24,11 (27.27%),(N/A),10.5,4.8,,4.67
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (B00),WI24,17 (52.94%),(N/A),1.44,4.54,4.68,4.64
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (C00),WI24,18 (22.22%),(N/A),1.0,5.0,5.0,5.0
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (A00),FA23,38 (57.89%),(N/A),0.71,4.65,4.7,4.81
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (B00),FA23,53 (54.72%),(N/A),0.52,4.61,4.56,4.69
"Minnes Kemp, Mor Mia",CSE 91 - Perspectives in CSE (C00),FA23,23 (52.17%),(N/A),0.83,4.49,4.59,4.77
"Sahoo, Debashis",CSE 100 - Advanced Data Structures (A00),SP24,311 (63.67%),3.31 (B+),7.55,4.39,4.38,4.5
"Moshiri, Alexander Niema",CSE 100 - Advanced Data Structures (A00),FA23,247 (74.49%),3.30 (B),7.9,4.55,4.54,4.65
"Moshiri, Niema",CSE 100R - Advanced Data Structures (A00),SP24,158 (66.46%),3.19 (B),7.52,4.61,4.56,4.67
"Moshiri, Niema",CSE 100R - Advanced Data Structures (A00),WI24,402 (73.63%),3.33 (B+),8.0,4.61,4.57,4.7
"Moshiri, Alexander Niema",CSE 100R - Advanced Data Structures (A00),FA23,247 (71.26%),3.36 (B+),7.91,4.55,4.52,4.62
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A00),SP24,426 (28.87%),3.24 (B),8.61,4.4,4.29,4.51
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A00),WI24,381 (35.96%),3.30 (B),8.58,4.45,4.35,4.51
"Bach, Quang Tran",CSE 101 - Design & Analysis of Algorithm (A00),FA23,382 (30.89%),3.03 (B),9.4,4.23,3.98,4.47
"Braun, Oliver",CSE 101 - Design & Analysis of Algorithm (A00),S223,nan,3.20 (B),9.0,4.45,4.39,4.47
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B00),S223,50 (12.00%),2.86 (B-),6.67,4.42,4.33,4.63
"Briones, Jor-el Thomas Caparas",CSE 101 - Design & Analysis of Algorithm (A00),S123,38 (76.32%),3.63 (B+),8.57,4.16,4.02,4.18
"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A00),FA23,85 (76.47%),3.47 (B+),6.85,3.69,3.61,4.08
"Micciancio, Daniele",CSE 105 - Theory of Computation (A00),SP24,235 (48.94%),2.91 (B-),7.9,3.99,3.76,4.08
"Minnes Kemp, Mor Mia",CSE 105 - Theory of Computation (A00),WI24,340 (38.24%),2.97 (B-),8.01,4.52,4.4,4.64
"Jones, Miles E",CSE 105 - Theory of Computation (A00),FA23,287 (34.84%),3.23 (B),8.21,4.31,4.3,4.46
"Minnes Kemp, Mor Mia",CSE 105 - Theory of Computation (A00),SP23,323 (29.10%),2.96 (B-),9.2,4.17,4.17,4.4
"Grier, Daniel T",CSE 105 - Theory of Computation (B00),SP23,90 (30.00%),3.13 (B),8.7,4.39,4.24,4.37
"Paturi, Ramamohan",CSE 106 - Discrete/Cont Optimization (A00),FA23,23 (17.39%),3.92 (A-),8.75,3.94,3.56,4.13
"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A00),SP24,83 (27.71%),2.50 (C+),7.0,4.2,4.11,4.58
"Heninger, Nadia A",CSE 107 - Intro to Modern Cryptography (A00),WI24,45 (37.78%),3.03 (B),5.71,4.8,4.44,4.62
"Bellare, Mihir",CSE 107 - Intro to Modern Cryptography (A00),FA23,51 (29.41%),2.41 (C+),6.67,4.39,4.05,4.46
"Powell, Thomas Allan",CSE 110 - Software Engineering (A00),SP24,372 (82.80%),3.54 (B+),9.11,3.79,3.56,4.25
"Griswold, William G.",CSE 110 - Software Engineering (A00),WI24,191 (63.87%),3.27 (B),10.47,3.76,3.63,4.2
"Miranda, Gregory Joseph",CSE 110 - Software Engineering (A00),FA23,248 (22.98%),3.50 (B+),9.56,4.03,3.83,4.32
"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A00),SP24,129 (13.95%),3.50 (B+),5.22,4.23,4.08,4.58
"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A00),FA23,24 (37.50%),3.81 (A-),8.89,4.14,4.4,4.69
"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A00),SP24,205 (75.12%),2.71 (B-),11.18,4.29,4.08,4.36
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A00),WI24,163 (34.97%),2.98 (B-),11.07,4.5,4.16,4.51
"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B00),WI24,79 (36.71%),3.32 (B+),8.59,4.58,4.37,4.73
"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A00),FA23,234 (22.22%),2.93 (B-),9.71,4.26,4.27,4.59
"Ousterhout, Amy",CSE 120 - Princ/Computer Operating Systm (B00),SP23,90 (32.22%),2.90 (B-),9.31,4.48,4.4,4.47
"Shalev, Aaron D",CSE 123 - Computer Networks (A00),WI24,69 (28.99%),2.63 (C+),13.3,4.64,4.34,4.56
"Snoeren, Alex C.",CSE 123 - Computer Networks (A00),FA23,70 (27.14%),3.12 (B),9.74,4.67,4.29,4.52
"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A00),SP24,35 (22.86%),4.00 (A-),12.13,4.89,4.9,4.93
"Fernandes, Earlence T",CSE 127 - Intro to Computer Security (A00),SP24,150 (15.33%),3.31 (B+),8.04,4.49,3.85,4.41
"Munyaka, Imani N. S.",CSE 127 - Intro to Computer Security (A00),WI24,137 (31.39%),3.32 (B+),6.9,3.35,2.87,3.5
"Savage, Stefan",CSE 127 - Intro to Computer Security (A00),FA23,181 (21.55%),3.36 (B+),8.59,4.54,4.03,4.5
